city_name,avg_pm25,median_pm25,max_pm25,avg_pm10,avg_temperature_c,avg_humidity_pct,avg_wind_speed_mps,observation_count,pollution_segment
Dubai,71.61907816279069,71.806666,97.534545,252.6842206744186,40.547515627906975,32.281926279069765,5.0012568372093025,43,High Pollution
Patna,45.47857911904762,44.5027965,76.698461,49.9861980952381,30.867885357142853,77.07989057142856,3.856529476190476,42,High Pollution
Kolkata,41.4802236744186,35.525,111.07,45.12243120930233,29.87605753488372,86.53343541860465,3.4087116976744185,43,High Pollution
Lucknow,38.83529157142857,38.2366665,67.786666,43.08827383333333,29.590436714285715,88.72110783333333,2.7544527142857143,42,High Pollution
Delhi,34.709476595238094,32.875,76.708571,65.62912773809524,30.564117809523808,80.99791538095238,2.675797523809524,42,High Pollution
Bhubaneswar,29.205256619047617,27.072499999999998,50.973333,32.44677130952381,29.00006366666667,83.72412264285715,2.0830417857142853,42,High Pollution
Singapore,16.318013268292685,15.862857,31.455454,22.40366117073171,29.34450273170732,73.07071656097561,4.245572243902439,41,High Pollution
Jaipur,14.721585285714287,13.8616665,21.44,37.42592685714286,29.662396095238094,71.12442538095239,2.7929811904761905,42,Moderate Pollution
Chennai,11.826754142857144,10.896923000000001,20.44,15.198474976190477,31.187541309523812,74.70118014285715,3.7817798571428574,42,Moderate Pollution
London,11.284600285714285,4.3822725,25.54,14.107757214285714,22.78824554761905,59.06833295238095,4.362021738095239,42,Moderate Pollution
Bhopal,10.935395857142858,11.541615,19.13,12.405910285714285,24.80704357142857,89.58365592857143,3.7379496190476194,42,Moderate Pollution
Guwahati,8.835183609756097,8.056666,15.166923,10.087167634146342,30.174109024390248,85.62169246341463,1.6455526585365854,41,Moderate Pollution
Tokyo,8.732150243902439,4.392727,32.37,13.694620073170732,28.734196219512196,78.43070512195122,5.049133024390244,41,Moderate Pollution
Ahmedabad,8.086317142857142,7.8607689999999995,11.97,17.22272376190476,29.67354961904762,60.90314907142857,3.3707041428571425,42,Lower Pollution
Bengaluru,6.257727585365853,6.5075,9.405555,9.790436975609756,25.411639902439024,76.35421719512195,4.543197,41,Lower Pollution
New York,5.341630395348837,5.27,8.64375,6.654796534883721,22.423070139534882,71.83680132558139,4.114974186046512,43,Lower Pollution
Mumbai,5.081578756097561,5.021666,7.64,12.165599317073172,29.423217902439024,75.99484409756097,5.913698048780488,41,Lower Pollution
Pune,4.142827476190476,4.232481999999999,5.395454,7.560092738095237,25.802447738095236,57.283432380952384,5.459878880952381,42,Lower Pollution
Hyderabad,3.5221614634146343,3.39,6.523636,4.663788512195122,27.451069536585365,74.1341692195122,9.923587512195123,41,Lower Pollution
Kochi,1.778692,1.879,2.38,4.67436,26.452440414634143,85.83641960975609,4.127847243902439,41,Lower Pollution
